Date,EquityStrategy,EquityBuyHold,DailyReturnStrategy,DailyReturnBuyHold,EffectiveExposure,Turnover
2016-12-08,1.0,0.994,,-0.006000000000000005,0.0,0.0
2016-12-09,1.0,1.0267292682926832,0.0,0.032926829268292934,0.0,0.0
2016-12-10,1.0,0.9867268292682928,-0.0,-0.038961038961039085,0.0,0.0
2016-12-11,1.0,0.9976365853658539,0.0,0.011056511056511065,0.0,0.0
2016-12-12,1.0,1.0303658536585365,0.0,0.03280680437424022,0.0,0.0
2016-12-13,1.0,1.0194560975609757,-0.0,-0.010588235294117565,0.0,0.0
2016-12-14,1.0,0.9988487804878049,-0.0,-0.02021403091557672,0.0,0.0
2016-12-15,1.0,0.9491487804878049,-0.0,-0.04975728155339798,0.0,0.0
2016-12-16,1.0,0.9503609756097562,0.0,0.0012771392081736277,0.0,0.0
2016-12-17,1.0,0.9515731707317073,0.0,0.0012755102040815647,0.0,0.0
2016-12-18,1.0,0.9600585365853659,0.0,0.008917197452229297,0.0,0.0
2016-12-19,1.0,0.9261170731707318,-0.0,-0.03535353535353536,0.0,0.0
2016-12-20,1.0,0.9261170731707318,0.0,0.0,0.0,0.0
2016-12-21,1.0,0.9588463414634147,0.0,0.035340314136125706,0.0,0.0
2016-12-22,1.0,0.9152073170731707,-0.0,-0.045512010113780144,0.0,0.0
2016-12-23,1.0,0.8642951219512196,-0.0,-0.05562913907284761,0.0,0.0
2016-12-24,1.0,0.8752048780487804,0.0,0.012622720897615514,0.0,0.0
2016-12-25,1.0,0.8715682926829269,-0.0,-0.0041551246537394615,0.0,0.0
2016-12-26,1.0,0.8800536585365853,0.0,0.009735744089012455,0.0,0.0
2016-12-27,1.0,0.8679317073170733,-0.0,-0.01377410468319551,0.0,0.0
2016-12-28,1.0,0.9236926829268293,0.0,0.06424581005586583,0.0,0.0
2016-12-29,1.0,1.004909756097561,0.0,0.0879265091863517,0.0,0.0
2016-12-30,1.0,0.9952121951219515,-0.0,-0.009650180940892428,0.0,0.0
2016-12-31,1.0,0.9891512195121952,-0.0,-0.006090133982947776,0.0,0.0
2017-01-01,1.0,0.9915756097560976,0.0,0.002450980392156854,0.0,0.0
2017-01-02,1.0,1.0158195121951221,0.0,0.02444987775061147,0.0,0.0
2017-01-03,1.0,1.1624951219512196,0.0,0.1443914081145583,0.0,0.0
2017-01-04,1.0,1.3540219512195122,0.0,0.16475495307612076,0.0,0.0
2017-01-05,1.0,1.2400756097560979,-0.0,-0.08415398388540707,0.0,0.0
2017-01-06,1.0,1.2291658536585368,-0.0,-0.008797653958944385,0.0,0.0
2017-01-07,1.0,1.20249756097561,-0.0,-0.021696252465483346,0.0,0.0
2017-01-08,1.0,1.2728048780487804,0.0,0.058467741935483764,0.0,0.0
2017-01-09,1.0,1.2594707317073173,-0.0,-0.010476190476190306,0.0,0.0
2017-01-10,1.0,1.2885634146341467,0.0,0.023099133782483294,0.0,0.0
2017-01-11,1.0,1.2061341463414634,-0.0,-0.06396989651928531,0.0,0.0
2017-01-12,1.0,1.1879512195121953,-0.0,-0.015075376884421954,0.0,0.0
2017-01-13,1.0,1.1928,0.0,0.004081632653061051,0.0,0.0
2017-01-14,1.0,1.1952243902439024,0.0,0.00203252032520318,0.0,0.0
2017-01-15,1.0,1.2000731707317074,0.0,0.0040567951318459805,0.0,0.0
2017-01-16,1.0,1.1709804878048782,-0.0,-0.024242424242424176,0.0,0.0
2017-01-17,1.0,1.253409756097561,0.0,0.07039337474120066,0.0,0.0
2017-01-18,1.0,1.2400756097560979,-0.0,-0.010638297872340163,0.0,0.0
2017-01-19,1.0,1.2631073170731708,0.0,0.01857282502443769,0.0,0.0
2017-01-20,1.0,1.2873512195121952,0.0,0.019193857965451144,0.0,0.0
2017-01-21,1.0,1.324929268292683,0.0,0.029190207156308823,0.0,0.0
2017-01-22,1.0,1.3055341463414634,-0.0,-0.014638609332113584,0.0,0.0
2017-01-23,1.0,1.3091707317073173,0.0,0.002785515320334442,0.0,0.0
2017-01-24,1.0,1.2812902439024392,-0.0,-0.02129629629629637,0.0,0.0
2017-01-25,1.0,1.2788658536585369,-0.0,-0.0018921475875116611,0.0,0.0
2017-01-26,1.0,1.2849268292682927,0.0,0.004739336492890711,0.0,0.0
2017-01-27,1.0,1.2788658536585369,-0.0,-0.004716981132075304,0.0,0.0
2017-01-28,1.0,1.2825024390243902,0.0,0.0028436018957342934,0.0,0.0
2017-01-29,1.0,1.2715926829268294,-0.0,-0.008506616257088706,0.0,0.0
2017-01-30,1.0,1.2849268292682927,0.0,0.010486177311725298,0.0,0.0
2017-01-31,1.0,1.2970487804878048,0.0,0.00943396226415083,0.0,0.0
2017-02-01,1.0,1.2994731707317075,0.0,0.0018691588785049174,0.0,0.0
2017-02-02,1.0033283582089552,1.3115951219512196,0.0033283582089551674,0.009328358208955168,1.0,1.0
2017-02-03,1.0190922972935692,1.3322024390243903,0.015711645101663674,0.015711645101663452,1.0,0.0
2017-02-04,1.0580384997379093,1.3831146341463416,0.03821656050955413,0.03821656050955413,1.0,0.0
2017-02-05,1.0441291417220735,1.3649317073170733,-0.013146362839614456,-0.013146362839614456,1.0,0.0
2017-02-06,1.051547465997186,1.374629268292683,0.007104795737122638,0.007104795737122638,1.0,0.0
2017-02-07,1.0673114050817998,1.3952365853658537,0.014991181657848296,0.014991181657848296,1.0,0.0
2017-02-08,1.0580384997379093,1.3831146341463416,-0.008688097306689846,-0.008688097306689735,1.0,0.0
2017-02-09,1.021874168896736,1.335839024390244,-0.034180543382997475,-0.034180543382997364,1.0,0.0
2017-02-10,1.059893080806687,1.3855390243902441,0.03720508166969139,0.03720508166969161,1.0,0.0
2017-02-11,1.0682386956161884,1.396448780487805,0.007874015748031482,0.007874015748031482,1.0,0.0
2017-02-12,1.0663841145474104,1.3940243902439025,-0.0017361111111110494,-0.0017361111111111605,1.0,0.0
2017-02-13,1.059893080806687,1.3855390243902441,-0.006086956521739184,-0.006086956521738962,1.0,0.0
2017-02-14,1.2184597621872153,1.5928243902439028,0.1496062992125986,0.14960629921259838,1.0,0.0
2017-02-15,1.2036231136369904,1.5734292682926831,-0.0121765601217656,-0.012176560121765712,1.0,0.0
